epoch,train_loss,test_loss,train_accuracy,test_accuracy
154,0.9299,1.5641,0.7516,0.528
155,0.919,1.5829,0.7458,0.503
156,0.9221,1.5488,0.756,0.521
157,0.9185,1.5996,0.755,0.512
158,0.926,1.6258,0.7524,0.529
159,0.9042,1.5749,0.7544,0.52
160,0.9292,1.6238,0.7584,0.51
161,0.88,1.5883,0.7546,0.525
162,0.8823,1.543,0.7574,0.53
163,0.8806,1.6109,0.7646,0.515
164,0.8885,1.5658,0.758,0.511
165,0.8748,1.6454,0.7642,0.502
166,0.8495,1.5908,0.7716,0.522
167,0.8776,1.5774,0.7714,0.514
168,0.8531,1.5916,0.7698,0.52
169,0.8379,1.5481,0.7742,0.533
170,0.8317,1.6137,0.7776,0.533
171,0.8225,1.6591,0.7846,0.505
172,0.8151,1.7107,0.7772,0.488
173,0.8244,1.6309,0.773,0.516
174,0.8129,1.6525,0.7814,0.505
175,0.7987,1.6292,0.7858,0.515
176,0.8113,1.5884,0.7802,0.52
177,0.7834,1.6501,0.8,0.515
178,0.7829,1.6514,0.797,0.501
179,0.7799,1.6665,0.7918,0.498
180,0.7771,1.5874,0.7942,0.525
181,0.7825,1.6431,0.7922,0.497
182,0.7785,1.5842,0.7968,0.521
183,0.75,1.6197,0.7964,0.513
184,0.7364,1.5969,0.8034,0.516
185,0.7704,1.597,0.803,0.525
186,0.7279,1.6005,0.81,0.502
187,0.7509,1.6598,0.8022,0.503
188,0.7281,1.6674,0.8084,0.488
189,0.7351,1.6439,0.8096,0.513
190,0.7298,1.646,0.807,0.516
191,0.7207,1.7055,0.809,0.506
192,0.7246,1.6225,0.809,0.508
193,0.7086,1.6281,0.807,0.5
194,0.6929,1.6271,0.819,0.517
195,0.6781,1.5865,0.821,0.507
196,0.7075,1.6223,0.8118,0.493
197,0.6966,1.572,0.8142,0.524
198,0.6721,1.6097,0.8206,0.521
199,0.6879,1.6096,0.8196,0.524
200,0.683,1.6373,0.8268,0.501
201,0.6657,1.6416,0.8256,0.514
202,0.6902,1.6467,0.8174,0.494
203,0.656,1.6274,0.8282,0.5
204,0.6574,1.6788,0.834,0.498
205,0.6672,1.6303,0.8256,0.491
206,0.6346,1.6836,0.8332,0.49
207,0.6632,1.62,0.8284,0.507
208,0.6324,1.5384,0.8384,0.523
209,0.6272,1.5791,0.841,0.523
210,0.628,1.6508,0.8374,0.512
211,0.6196,1.5595,0.837,0.528
212,0.6265,1.5788,0.8348,0.497
213,0.6087,1.6513,0.8422,0.515
214,0.5938,1.6423,0.8442,0.496
215,0.6182,1.6976,0.8416,0.49
216,0.6072,1.6695,0.8354,0.497
217,0.5982,1.7494,0.8462,0.5
218,0.5923,1.6302,0.8526,0.507
219,0.5858,1.6033,0.839,0.536
220,0.5922,1.6193,0.8476,0.529
221,0.5758,1.6416,0.8504,0.51
222,0.6003,1.6677,0.8452,0.484
223,0.5783,1.7338,0.8574,0.494
224,0.5687,1.5551,0.8528,0.534
225,0.5725,1.5512,0.8546,0.509
226,0.585,1.6341,0.8562,0.516
227,0.5736,1.6288,0.8478,0.513
228,0.5661,1.6053,0.854,0.53
229,0.5648,1.7155,0.8488,0.498
230,0.5544,1.6434,0.8602,0.498
231,0.541,1.6276,0.8662,0.527
232,0.5658,1.6283,0.8586,0.512
233,0.5479,1.6597,0.8606,0.504
234,0.5345,1.605,0.8586,0.516
235,0.5296,1.7193,0.862,0.512
236,0.5319,1.5886,0.862,0.522
237,0.5239,1.6975,0.8604,0.515
238,0.51,1.7868,0.866,0.479
239,0.5266,1.7413,0.8664,0.499
240,0.5242,1.6615,0.8608,0.498
241,0.4988,1.7235,0.872,0.496
242,0.5193,1.6647,0.8706,0.504
243,0.528,1.6468,0.8612,0.517
244,0.5068,1.7215,0.8728,0.507
245,0.5088,1.7719,0.8694,0.512
246,0.4963,1.692,0.8728,0.517
247,0.4988,1.6933,0.873,0.502
248,0.4982,1.7269,0.8688,0.49
249,0.5085,1.6505,0.868,0.519
250,0.4967,1.7832,0.8706,0.497
251,0.4945,1.6922,0.8748,0.501
252,0.4779,1.7508,0.88,0.509
253,0.481,1.6316,0.8754,0.52
254,0.4719,1.5981,0.8742,0.513
255,0.4723,1.711,0.8788,0.504
256,0.4776,1.6505,0.8776,0.496
257,0.4816,1.6888,0.8766,0.513
258,0.4751,1.7093,0.8788,0.507
259,0.4669,1.6051,0.8748,0.511
260,0.4572,1.5649,0.8872,0.525
261,0.4504,1.6343,0.888,0.515
262,0.4549,1.7461,0.8836,0.501
263,0.4523,1.7665,0.885,0.506
264,0.4353,1.7113,0.8936,0.5
265,0.45,1.7014,0.8848,0.488
266,0.4564,1.6312,0.8856,0.496
267,0.4221,1.6873,0.8942,0.518
268,0.4456,1.6758,0.8904,0.528
269,0.4275,1.809,0.8914,0.489
270,0.4126,1.671,0.8928,0.52
271,0.4253,1.7524,0.8906,0.51
272,0.4437,1.6721,0.895,0.5
273,0.4308,1.6478,0.8896,0.513
