epoch,train_loss,test_loss,train_accuracy,test_accuracy
0,1.0121,1.0186,0.4886211512717537,0.28362573099415206
1,0.9984,1.0181,0.45113788487282463,0.4415204678362573
2,0.9935,1.0187,0.47657295850066933,0.4780701754385965
3,0.9914,1.0278,0.43775100401606426,0.45321637426900585
4,0.9866,1.0252,0.3507362784471218,0.4195906432748538
5,0.9801,1.0248,0.36010709504685406,0.4152046783625731
6,0.9808,1.0355,0.36412315930388217,0.35964912280701755
7,0.9817,1.0269,0.3748326639892905,0.3347953216374269
8,0.9754,1.0239,0.3172690763052209,0.3391812865497076
9,0.9818,1.0255,0.3534136546184739,0.2880116959064328
10,0.9817,1.0221,0.285140562248996,0.2631578947368421
11,0.9924,1.034,0.2838018741633199,0.25146198830409355
12,0.9782,1.0299,0.29852744310575635,0.21637426900584794
13,0.9652,1.045,0.321285140562249,0.28362573099415206
14,0.9649,1.0296,0.2797858099062918,0.25584795321637427
15,0.963,1.049,0.30522088353413657,0.27046783625730997
16,0.9818,1.0354,0.3092369477911647,0.25292397660818716
17,0.9679,1.0356,0.3413654618473896,0.34649122807017546
18,0.9585,1.0543,0.2556894243641232,0.2324561403508772
19,0.9754,1.0492,0.2744310575635877,0.2733918128654971
20,0.9462,1.0482,0.30254350736278446,0.26900584795321636
21,0.971,1.035,0.26238286479250333,0.24561403508771928
22,0.9766,1.0276,0.23828647925033467,0.16666666666666666
23,0.9849,1.0405,0.28112449799196787,0.23538011695906433
24,0.9607,1.0526,0.26907630522088355,0.2309941520467836
25,0.9704,1.0491,0.2824631860776439,0.21783625730994152
26,0.9687,1.0363,0.29049531459170014,0.2149122807017544
27,0.9645,1.0338,0.2918340026773762,0.25292397660818716
28,0.9759,1.0459,0.26238286479250333,0.18421052631578946
29,0.9548,1.0231,0.24497991967871485,0.24415204678362573
30,0.9518,1.0298,0.27041499330655955,0.2309941520467836
31,0.9578,1.0375,0.31860776439089694,0.20321637426900585
32,0.9471,1.0567,0.2797858099062918,0.22076023391812866
33,0.9579,1.0437,0.2757697456492637,0.24707602339181287
34,0.9701,1.0532,0.2971887550200803,0.25584795321637427
35,0.9691,1.0051,0.26238286479250333,0.23391812865497075
36,0.9586,1.0526,0.2570281124497992,0.21052631578947367
37,0.9476,1.045,0.24765729585006693,0.20321637426900585
38,0.9561,1.0485,0.26104417670682734,0.19736842105263158
39,0.9718,1.0395,0.2717536813922356,0.260233918128655
40,0.9619,1.0509,0.2918340026773762,0.25292397660818716
41,0.9491,1.0363,0.2757697456492637,0.21198830409356725
