epoch,train_loss,test_loss,train_accuracy,test_accuracy
0,1.0113,1.0172,0.17269076305220885,0.4137426900584795
1,0.9939,1.0273,0.2570281124497992,0.3669590643274854
2,0.9888,1.0241,0.32262382864792505,0.27631578947368424
3,0.988,1.0197,0.3132530120481928,0.43128654970760233
4,0.9944,1.0315,0.3119143239625167,0.489766081871345
5,0.9881,1.0216,0.3319946452476573,0.4108187134502924
6,0.9986,1.0239,0.3038821954484605,0.3961988304093567
7,0.9798,1.0297,0.31459170013386883,0.24707602339181287
8,0.9746,1.0239,0.27710843373493976,0.3055555555555556
9,0.9782,1.0223,0.2677376171352075,0.2412280701754386
10,0.986,1.0363,0.3748326639892905,0.23976608187134502
11,0.9698,1.0332,0.2891566265060241,0.29385964912280704
12,0.9747,1.028,0.3253012048192771,0.2807017543859649
13,0.9555,1.0451,0.36010709504685406,0.25877192982456143
14,0.9611,1.0227,0.31593038821954483,0.24561403508771928
15,0.9752,1.0469,0.31057563587684067,0.21929824561403508
16,0.9633,1.0464,0.3293172690763052,0.29678362573099415
17,0.9692,1.0204,0.33467202141900937,0.37280701754385964
18,0.9632,1.0245,0.321285140562249,0.32894736842105265
19,0.9601,1.0488,0.30522088353413657,0.19444444444444445
20,0.966,1.0531,0.3293172690763052,0.22953216374269006
21,0.9652,1.0396,0.2958500669344043,0.2543859649122807
22,0.9512,1.0506,0.31057563587684067,0.26608187134502925
23,0.9722,1.0449,0.285140562248996,0.20321637426900585
24,0.9609,1.037,0.30120481927710846,0.27046783625730997
25,0.9678,1.0345,0.3172690763052209,0.24561403508771928
26,0.9619,1.0423,0.3172690763052209,0.23684210526315788
27,0.9565,1.0443,0.2744310575635877,0.2149122807017544
28,0.9752,1.0552,0.2637215528781794,0.25584795321637427
29,0.9655,1.0298,0.31459170013386883,0.3084795321637427
30,0.9658,1.0366,0.2744310575635877,0.23538011695906433
31,0.9801,1.0395,0.3092369477911647,0.25877192982456143
32,0.9671,1.0521,0.3038821954484605,0.2675438596491228
33,0.9652,1.0582,0.28647925033467203,0.24415204678362573
34,0.9617,1.064,0.29451137884872824,0.2909356725146199
35,0.9694,1.0417,0.31057563587684067,0.27631578947368424
36,0.9588,1.0544,0.31593038821954483,0.2646198830409357
37,0.9539,1.0573,0.3092369477911647,0.3201754385964912
38,0.9573,1.041,0.31057563587684067,0.34649122807017546
39,0.9572,1.0582,0.31860776439089694,0.2675438596491228
40,0.9636,1.043,0.3333333333333333,0.2894736842105263
41,0.942,1.054,0.3038821954484605,0.24415204678362573
42,0.96,1.0443,0.30655957161981257,0.27631578947368424
43,0.9425,1.0391,0.30120481927710846,0.26169590643274854
44,0.9678,1.0572,0.2878179384203481,0.2149122807017544
45,0.958,1.0684,0.3092369477911647,0.20175438596491227
46,0.9418,1.0639,0.29852744310575635,0.25146198830409355
47,0.9565,1.0482,0.2958500669344043,0.25
48,0.9298,1.0857,0.2878179384203481,0.23830409356725146
49,0.9613,1.0739,0.26104417670682734,0.2675438596491228
50,0.9466,1.0514,0.26238286479250333,0.22076023391812866
51,0.9561,1.0661,0.30254350736278446,0.21929824561403508
52,0.9649,1.0627,0.2677376171352075,0.24707602339181287
53,0.9471,1.0821,0.26238286479250333,0.20175438596491227
54,0.919,1.055,0.285140562248996,0.24853801169590642
55,0.9786,1.087,0.27041499330655955,0.24269005847953215
56,0.957,1.0594,0.26907630522088355,0.25584795321637427
57,0.973,1.0683,0.2931726907630522,0.2675438596491228
58,0.9549,1.0793,0.29852744310575635,0.2149122807017544
59,0.9534,1.0691,0.30522088353413657,0.24853801169590642
60,0.939,1.0331,0.2971887550200803,0.2807017543859649
61,0.9491,1.0495,0.28112449799196787,0.24561403508771928
62,0.9531,1.047,0.2677376171352075,0.23538011695906433
63,0.9515,1.0792,0.27309236947791166,0.21637426900584794
64,0.9485,1.0713,0.2824631860776439,0.25146198830409355
65,0.9546,1.0649,0.2744310575635877,0.20760233918128654
66,0.9338,1.0679,0.2556894243641232,0.20175438596491227
67,0.9185,1.0605,0.2998661311914324,0.23830409356725146
68,0.9428,1.0449,0.27710843373493976,0.26900584795321636
69,0.9604,1.0446,0.2971887550200803,0.24853801169590642
70,0.9342,1.0936,0.2824631860776439,0.2324561403508772
71,0.9402,1.0778,0.30120481927710846,0.23684210526315788
72,0.9148,1.0753,0.3386880856760375,0.2777777777777778
73,0.9437,1.0765,0.2931726907630522,0.22807017543859648
74,0.9597,1.0758,0.285140562248996,0.2236842105263158
75,0.9552,1.0875,0.2931726907630522,0.25877192982456143
76,0.9347,1.0744,0.2784471218206158,0.2149122807017544
77,0.9251,1.0643,0.27041499330655955,0.21198830409356725
